Feature,Stellar.expert (Mobile),Stellarchain (Mobile),Status,Notes
Design & UX,Dense / Cluttered,Clean / Card-based,Advantage,"Stellarchain wins on readability; Stellar.expert is hard to read on mobile."
Transaction Size (Bytes),Visible (Header),Missing,Missing,"Critical for devs; missing in Stellarchain."
Fee Breakdown (Soroban),Detailed (Refundable),Basic (Total),Missing,"Stellarchain only shows total fee charged; misses refundable details."
Signatures,Visible,Visible (Details Tab),Match,Both allow verifying signers.
Raw XDR (Envelope/Result),Visible,Visible (Raw Tab),Match,Stellarchain has nice copy buttons.
Smart Contract Logic,Full Arguments,Function Name Only,Partial,"Stellarchain decodes name but misses complex arguments/return values."
Preconditions (Timebounds),Visible,Missing,Missing,"Important for time-locked txs."
Ledger info,Direct Link + Time,Link + Time,Match,Both link to ledger details.
Visual Flow (From -> To),Linear Text,Visual Cards,Advantage,"Stellarchain's ""Deep Ocean"" design is much easier to follow visually."
Search,Full,Full,Match,Both support all search types.
Navigation,Scroll-heavy,Tabbed,Advantage,"Stellarchain's tabs (Ops/Effects/Details) are better for mobile."
Operations List,Text List,Card List,Advantage,Stellarchain cards are more legible.
